state code,Dist.,Assembly Cinstituency,Part NO. or Name,Sr. No. ,EPIC No.,Name,father name,Age ,Dob,Gander,Mobile,Caste,Address,Work,Color,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),1,USC1940824,Puja,Arjun,26,,f,9999555512,yadav,Soharthi,housewife,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),2,USC1940825,dhuruv,sanjay,29,,m,8877317777,singh,"Word no - 9, Soharthi",teacher,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),3,USC1940826,kdar singh,shukhdev singh,74,,m,8877317558,singh,Soharthi,teacher,w,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),4,USC1940827,anamika,subodh singh,21,,f,9999995555,singh,Soharthi,farmer,g,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),5,USC1940828,nutun kumar,ganesh,29,,f,7777755555,sahni,"word no - 6, Soharthi",farmer,g,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),6,USC1940829,anikit,subodh singh,25,,m,7777777777,singh,"word no - 6, Soharthi",farmer,w,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),7,USC1940830,kabita kumari,subodh singh,28,,m,9999777788,singh,"word no - 6, Soharthi",,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),8,USC1940831,sohgiya devi,hiralal ram,68,,m,7777777777,das,Soharthi,housewife,w,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),9,USC1940832,mina devi,rameshwar ram,58,,f,9988778866,das,Soharthi,housewife,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,1 - ??????? ???????? ???????? ?????? ?????? (?????? ???),10,USC1940833,anupam kumari,Anil singh,30,,f,9999555512,singh,Soharthi,housewife,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,2 - ????????? ???? ???????? ?????? ?????? (?????? ???),1,USC1940834,Puja,Arjun,26,,f,9999555512,yadav,Soharthi,housewife,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,2 - ????????? ???? ???????? ?????? ?????? (?????? ???),2,USC1940835,dhuruv,sanjay,29,,m,8877317777,singh,"Word no - 9, Soharthi",teacher,r,,,,,,,,,,
BR,18 - ??????,129 - ?????,2 - ????????? ???? ???????? ?????? ?????? (?????? ???),3,USC1940836,kdar singh,shukhdev singh,74,,m,8877317558,singh,Soharthi,teacher,w,,,,,,,,,,
BR,18 - ??????,129 - ?????,2 - ????????? ???? ???????? ?????? ?????? (?????? ???),4,USC1940837,anamika,subodh singh,21,,f,9999995555,singh,Soharthi,farmer,g,,,,,,,,,,
